DATE,X,Y,Z,A,B
2010-01-01 00:00:00,2029.30,166078.00,2027.40,2041.90,2022.20
2010-01-02 00:00:00,2021.60,167013.00,2009.10,2025.60,2007.70
2010-01-03 00:00:00,2006.50,245194.00,2031.70,2036.10,2004.60
2010-01-04 00:00:00,2030.20,277995.00,2053.40,2062.80,2027.60
2010-01-05 00:00:00,2051.60,250946.00,2033.20,2067.30,2033.10
2010-01-06 00:00:00,2019.20,270624.00,2029.40,2056.10,2017.30
2010-01-07 00:00:00,2027.80,183625.00,2036.00,2046.20,2025.90
2010-01-08 00:00:00,2033.00,194610.00,2034.50,2048.60,2031.90
2010-01-09 00:00:00,2033.50,199325.00,2052.60,2053.30,2022.70
2010-01-10 00:00:00,2049.80,208861.00,2051.40,2071.10,2030.80
2010-01-11 00:00:00,2050.00,125573.00,2049.30,2058.10,2043.30
2010-01-12 00:00:00,2042.80,214132.00,2067.90,2074.30,2038.30
2010-01-13 00:00:00,2073.40,149926.00,2072.70,2088.10,2064.30
2010-01-14 00:00:00,2071.80,102741.00,2076.10,2084.10,2067.60
2010-01-15 00:00:00,2083.50,126411.00,2089.50,2098.20,2074.60
2010-01-16 00:00:00,2093.10,124021.00,2079.30,2095.80,2072.80
2010-01-17 00:00:00,2069.80,76492.00,2066.00,2080.50,2065.10
2010-01-18 00:00:00,2069.10,162292.00,2061.20,2083.00,2058.20
2010-01-19 00:00:00,2051.30,115184.00,2044.40,2058.00,2043.30
2010-01-20 00:00:00,2047.70,119394.00,2053.80,2056.90,2040.60
2010-01-21 00:00:00,2052.10,130031.00,2041.10,2061.00,2034.80
2010-01-22 00:00:00,2040.50,137436.00,2033.30,2048.00,2029.50
2010-01-23 00:00:00,2035.70,166565.00,2051.30,2059.60,2029.20
2010-01-24 00:00:00,2044.90,222776.00,2043.20,2062.90,2039.10
2010-01-25 00:00:00,1997.30,183780.00,1995.10,2043.30,1987.90
2010-01-26 00:00:00,1993.20,140257.00,1997.80,2012.50,1992.30
2010-01-27 00:00:00,1993.70,151409.00,2020.00,2023.70,1991.20
2010-01-28 00:00:00,2014.50,227831.00,2045.70,2050.40,2010.60
2010-01-29 00:00:00,2046.40,165566.00,2043.40,2057.20,2036.60
2010-01-30 00:00:00,2047.90,150192.00,2037.80,2053.40,2035.30
2010-01-31 00:00:00,2036.30,202003.00,2049.00,2059.60,2027.60
2010-02-01 00:00:00,2042.20,368688.00,2094.40,2092.80,2038.40
2010-02-02 00:00:00,2089.70,230877.00,2056.50,2095.70,2052.60
2010-02-03 00:00:00,2057.20,143605.00,2065.40,2067.40,2051.20
2010-02-04 00:00:00,2067.10,189494.00,2062.00,2072.70,2055.90
2010-02-05 00:00:00,2040.00,172968.00,2014.30,2044.10,2011.50
2010-02-06 00:00:00,2012.40,247411.00,2002.50,2018.90,2001.40
2010-02-07 00:00:00,2003.00,211252.00,1991.20,2004.50,1990.90
2010-02-08 00:00:00,1992.80,194093.00,2000.30,2008.30,1988.60
2010-02-09 00:00:00,2001.60,223873.00,1980.00,2009.80,1979.90
2010-02-10 00:00:00,1980.30,172046.00,1980.90,1987.80,1967.20
2010-02-11 00:00:00,1984.70,129520.00,1984.20,1983.60,1982.50
